property_id;property_type;county;settlement_type;city;building_area_m2;land_area_m2;scenario;source_condition;target_condition;current_score;target_score;score_delta;current_factor;target_factor;factor_delta;current_value;target_value;value_delta;value_delta_pct;ksh_baseline;ksh_source_level
ID477;Lakóház;Bács-Kiskun;város;Kalocsa;47.9458720140011;1530.0810974382744;2->5;2;5;0.653907;0.500331;-0.15357600000000005;1.061563;1.000133;-0.061430000000000096;16796191.0;15824235.0;-971956.0;-0.05786764391998162;15822138.0;city
ID482;Lakóház;Bács-Kiskun;község;Katymár;73.0;893.010938336004;2->5;2;5;0.316822;0.401658;0.08483600000000002;0.926729;0.960663;0.03393400000000002;3450212.0;3576549.0;126337.0;0.036617170191281;3723000.0;city
ID487;Lakóház;Szabolcs-Szatmár-Bereg;város;Kisvárda;48.0;3072.2717655903334;2->5;2;5;0.539007;0.453287;-0.08572000000000002;1.015603;0.981315;-0.034287999999999985;14819679.0;14319346.0;-500333.0;-0.03376139253758465;14592000.0;city
ID489;Lakóház;Jász-Nagykun-Szolnok;község;Tiszasüly;114.0;718.8092004890749;2->5;2;5;0.260195;0.430995;0.1708;0.904078;0.972398;0.06831999999999994;9378904.0;10087658.0;708754.0;0.07556895773749257;10374000.0;city
ID497;Lakóház;Somogy;község;Nagyberény;68.0;94.62341610780628;2->5;2;5;0.545482;0.611638;0.06615599999999999;1.018193;1.044655;0.026461999999999986;19940287.0;20458529.0;518242.0;0.025989696136269252;19584000.0;city
ID504;Lakóház;Borsod-Abaúj-Zemplén;község;Aszaló;161.25514122120833;1662.6603836847275;2->5;2;5;0.324094;0.33836;0.014266000000000001;0.929638;0.935344;0.005705999999999989;23235871.0;23378504.0;142633.0;0.0061384830377135425;24994547.0;city
ID508;Lakóház;Borsod-Abaúj-Zemplén;község;Füzérradvány;62.95174391833795;1369.1359128173929;2->5;2;5;0.607412;0.595112;-0.012299999999999978;1.042965;1.038045;-0.004919999999999813;13230430.0;13168021.0;-62409.0;-0.0047170802460691;12685406.0;county_settlement
ID510;Lakóház;Bács-Kiskun;város;Kecel;77.39605585454377;1870.7151998854392;2->5;2;5;0.285741;0.416582;0.13084099999999999;0.914296;0.966633;0.05233699999999997;14294112.0;15112342.0;818230.0;0.05724245059784056;15634003.0;city
ID513;Lakóház;Bács-Kiskun;város;Kiskunhalas;74.0;429.36794128722215;2->5;2;5;0.475906;0.52109;0.04518400000000006;0.990362;1.008436;0.018074000000000146;24038077.0;24476758.0;438681.0;0.01824942153234637;24272000.0;city
ID515;Lakóház;Békés;község;Nagykamarás;52.0;616.981205618148;2->5;2;5;0.491744;0.557829;0.066085;0.996698;1.023132;0.026433999999999958;6402502.0;6572307.0;169805.0;0.026521662937395413;6423716.0;county_settlement
